ID,词,NUM,chinese_text,图,词性,explain,eng_text,jp_text,ara_text,fr_text,de_text,pt_text,spa_text,ru_text
1,人,,人,人,N,人,people,人々,انسان,Personnes,Menschen,pessoas,Gente,люди
2,等,1,等等,等,U,等等 (图解:实例+省略号),etc(GI:Example+ellipsis),等 (図注:インスタンス+省略記号),إلخ,Etc.,etc,etc,etc,и т.д.
3,某,,某,某,N,某 (图解:蒙面→不知是谁),certain(GI:Masked → I don't know who it is),某 (図注:覆面→誰かわからない),أي,Certains,bestimmte,certeza,cierto,некий
4,你,,你,你,N,你 (图解:涂黑(上方)你的头),you(GI:Paint your head black (above)),あなた (図注:黒く塗る(上)あなたの頭), أنت,Vous,Sie,você,tú,ты
5,他,1,他,他,R,他 (图解:涂黑(旁边)他的头),he(GI:Paint his head black (next to it)),彼 (図注:彼の頭を黒く塗る(横)),هو,Il,er,ele,él,он
6,我,,我,我,N,我 (图解:涂黑(下方)我的头),I(GI:Blacking (below) my head),私 (図注:私の頭を黒く塗りつぶす（下）),أنا,Je,ich,Eu,Yo,я
7,自己,,自己,自己,R,自己 (图解:手指自己),oneself(GI:Fingers themselves),自分自身 (図注:指自体),نفس,Propre,sich,se,Uno mismo,сам
8,弟弟,,弟弟,弟弟,N,弟弟 (图解:男左女右，上大下小),"younger brother(GI:Male left, female right, upper large, lower small)",弟 (図注:男は左、女は右、上は大下小),الأخ الصغير,Little Brother,jüngerer Bruder,irm?o mais novo,hermano menor,младший брат
9,儿子,,儿子,儿子,N,儿子 (图解:男左女右，上大下小),"son(GI:Male left, female right, upper large, lower small)",息子 (図注:男は左、女は右、上は大下小),ابن,Fils,Sohn,filho,Hijo,сын
10,父母,,父母,父母,N,父母 (图解:男左女右，上大下小),"parent(GI:Male left, female right, upper large, lower small)",親 (図注:男は左、女は右、上は大下小),والد,Parents,Elternteil,pais,Padres,родитель
11,父亲,,父亲,父亲,N,父亲 (图解:男左女右，上大下小),"father(GI:Male left, female right, upper large, lower small)",父 (図注:男は左、女は右、上は大下小),أب,Père,Vater,pai,Padre,отец
12,哥哥,,哥哥,哥哥,N,哥哥 (图解:男左女右，上大下小),"elder brother(GI:Male left, female right, upper large, lower small)",兄 (図注:男は左、女は右、上は大きく下は小さい),الأخ الكبير,Big Brother,?lterer Bruder,irm?o mais velho,hermano mayor,старший брат
13,姐姐,,姐姐,姐姐,N,姐姐 (图解:男左女右，上大下小),"elder sister(GI:Male left, female right, upper large, lower small)",姉 (図注:男は左、女は右、上は大下小),الأخت الكبيرة,s?ur ainée,?ltere Schwester,irm? mais velha,Hermana mayor,старшая сестра
14,姐妹,,姐妹,姐妹,N,姐妹 (图解:男左女右，上大下小),"sister(GI:Male left, female right, upper large, lower small)",シスターズ (図注:男は左、女は右、上は大下小),أخت,S?urs,Schwester,irm?,Hermana,сестра
15,妹妹,,妹妹,妹妹,N,妹妹 (图解:男左女右，上大下小),"younger sister(GI:Male left, female right, upper large, lower small)",シスター (図注:男は左、女は右、上は大下小),الأخت الصغيرة,S?ur,jüngere Schwester,irm? mais nova,hermana menor,младшая сестра
16,母亲,,母亲,母亲,N,母亲 (图解:男左女右，上大下小),"mother(GI:Male left, female right, upper large, lower small)",母親 (図注:男は左、女は右、上は大下小),أم,Mère,Mutter,m?e,Madre,мать
17,女儿,,女儿,女儿,N,女儿 (图解:男左女右，上大下小),"daughter(GI:Male left, female right, upper large, lower small)",娘 (図注:男は左、女は右、上は大下小),ابنة,Fille,Tochter,filha,Hija,дочь
18,兄弟,,兄弟,兄弟,N,兄弟 (图解:男左女右，上大下小),"brother(GI:Male left, female right, upper large, lower small)",兄弟 (図注:男は左、女は右、上は大下小),شقيق,Brothers,Bruder,Irm?o,Hermano,брат
19,子女,,子女,子女,N,子女 (图解:男左女右，上大下小),"sons or daughters(GI:Male left, female right, upper large, lower small)",子女 (図注:男は左、女は右、上は大下小),ولد,Enfant,Kind,crian?a,Ni?o,ребенок
20,领导,1,(名词),领导,N,领导 (图解:领导在众人上方),leader(GI:The leader is above the crowd),リーダー (図注:リーダーはみんなの上にいる),زعيم,Leadership,Führer,chefe,Liderazgo,лидер
21,客人,,客人,客人,N,客人 (图解:客人走地毯来),guest(GI:Guests come on the carpet),ゲスト (図注:客がじゅうたんを歩いて来る),ضيف,Invité,Gast,convidado,Invitado,гость
22,动物,,动物,动物,N,"动物 (图解:草→生长,方框→物，箭头→动)","animal(GI:Grass → growth, box → object, arrow → movement)",動物 (図注:草→成長、四角→物、矢印→動),حيوان,Animal,Tier,animal,Animal,животное
23,狗,,狗,狗,N,狗,dog,犬,كلب,Chien,Hund,c?o,Perro,собака
24,猫,,猫,猫,N,猫,cat,猫,قطة,Cat,Katze,gato,Gato,кот
25,生物,,生物,生物,N,"生物 (图解:草→生长,方框→物)","biology(GI:Grass → growth, box → object)",生物 (図注:草→成長、四角→物),البيولوجية,biologique,Biologische,Bio,Biología,биологический
26,马,2,马,马,N,马,horse,馬,حصان,Cheval,Pferd,cavalo,Caballo,лошадь
27,羊,,羊,羊,N,羊,sheep,羊,غنم,Ovins,Schaf,ovelha,oveja,овца
28,鸟,,鸟,鸟,N,鸟,bird,バード,طير,Oiseau,Vogel,pássaro,Ave,птица
29,鱼,,鱼,鱼,N,鱼,fish,魚,سمك,Poissons,Fisch,peixe,Pescado,рыба
